Names,Links
Hattrem,https://www.serebii.net/pokedex-sv/hattrem/
Hatterene,https://www.serebii.net/pokedex-sv/hatterene/
Impidimp,https://www.serebii.net/pokedex-sv/impidimp/
Morgrem,https://www.serebii.net/pokedex-sv/morgrem/
Grimmsnarl,https://www.serebii.net/pokedex-sv/grimmsnarl/
Wiglett,https://www.serebii.net/pokedex-sv/wiglett/
Wugtrio,https://www.serebii.net/pokedex-sv/wugtrio/
Bombirdier,https://www.serebii.net/pokedex-sv/bombirdier/
Finizen,https://www.serebii.net/pokedex-sv/finizen/
Palafin,https://www.serebii.net/pokedex-sv/palafin/
Varoom,https://www.serebii.net/pokedex-sv/varoom/
Revavroom,https://www.serebii.net/pokedex-sv/revavroom/
Cyclizar,https://www.serebii.net/pokedex-sv/cyclizar/
Orthworm,https://www.serebii.net/pokedex-sv/orthworm/
Sableye,https://www.serebii.net/pokedex-sv/sableye/
Shuppet,https://www.serebii.net/pokedex-sv/shuppet/
Banette,https://www.serebii.net/pokedex-sv/banette/
Falinks,https://www.serebii.net/pokedex-sv/falinks/
Hawlucha,https://www.serebii.net/pokedex-sv/hawlucha/
Spiritomb,https://www.serebii.net/pokedex-sv/spiritomb/
Noibat,https://www.serebii.net/pokedex-sv/noibat/
Noivern,https://www.serebii.net/pokedex-sv/noivern/
Dreepy,https://www.serebii.net/pokedex-sv/dreepy/
Drakloak,https://www.serebii.net/pokedex-sv/drakloak/
Dragapult,https://www.serebii.net/pokedex-sv/dragapult/
Glimmet,https://www.serebii.net/pokedex-sv/glimmet/
Glimmora,https://www.serebii.net/pokedex-sv/glimmora/
Rotom,https://www.serebii.net/pokedex-sv/rotom/
Greavard,https://www.serebii.net/pokedex-sv/greavard/
Houndstone,https://www.serebii.net/pokedex-sv/houndstone/
Oranguru,https://www.serebii.net/pokedex-sv/oranguru/
Passimian,https://www.serebii.net/pokedex-sv/passimian/
Komala,https://www.serebii.net/pokedex-sv/komala/
Larvitar,https://www.serebii.net/pokedex-sv/larvitar/
Pupitar,https://www.serebii.net/pokedex-sv/pupitar/
Tyranitar,https://www.serebii.net/pokedex-sv/tyranitar/
Stonjourner,https://www.serebii.net/pokedex-sv/stonjourner/
Eiscue,https://www.serebii.net/pokedex-sv/eiscue/
Pincurchin,https://www.serebii.net/pokedex-sv/pincurchin/
Sandygast,https://www.serebii.net/pokedex-sv/sandygast/
Palossand,https://www.serebii.net/pokedex-sv/palossand/
Slowpoke,https://www.serebii.net/pokedex-sv/slowpoke/
Slowbro,https://www.serebii.net/pokedex-sv/slowbro/
Slowking,https://www.serebii.net/pokedex-sv/slowking/
Shellos,https://www.serebii.net/pokedex-sv/shellos/
Gastrodon,https://www.serebii.net/pokedex-sv/gastrodon/
Shellder,https://www.serebii.net/pokedex-sv/shellder/
Cloyster,https://www.serebii.net/pokedex-sv/cloyster/
Qwilfish,https://www.serebii.net/pokedex-sv/qwilfish/
Luvdisc,https://www.serebii.net/pokedex-sv/luvdisc/
Finneon,https://www.serebii.net/pokedex-sv/finneon/
Lumineon,https://www.serebii.net/pokedex-sv/lumineon/
Bruxish,https://www.serebii.net/pokedex-sv/bruxish/
Alomomola,https://www.serebii.net/pokedex-sv/alomomola/
Skrelp,https://www.serebii.net/pokedex-sv/skrelp/
Dragalge,https://www.serebii.net/pokedex-sv/dragalge/
Clauncher,https://www.serebii.net/pokedex-sv/clauncher/
Clawitzer,https://www.serebii.net/pokedex-sv/clawitzer/
Tynamo,https://www.serebii.net/pokedex-sv/tynamo/
Eelektrik,https://www.serebii.net/pokedex-sv/eelektrik/
Eelektross,https://www.serebii.net/pokedex-sv/eelektross/
Mareanie,https://www.serebii.net/pokedex-sv/mareanie/
Toxapex,https://www.serebii.net/pokedex-sv/toxapex/
Flamigo,https://www.serebii.net/pokedex-sv/flamigo/
Dratini,https://www.serebii.net/pokedex-sv/dratini/
Dragonair,https://www.serebii.net/pokedex-sv/dragonair/
Dragonite,https://www.serebii.net/pokedex-sv/dragonite/
Snom,https://www.serebii.net/pokedex-sv/snom/
Frosmoth,https://www.serebii.net/pokedex-sv/frosmoth/
Snover,https://www.serebii.net/pokedex-sv/snover/
Abomasnow,https://www.serebii.net/pokedex-sv/abomasnow/
Delibird,https://www.serebii.net/pokedex-sv/delibird/
Cubchoo,https://www.serebii.net/pokedex-sv/cubchoo/
Beartic,https://www.serebii.net/pokedex-sv/beartic/
Snorunt,https://www.serebii.net/pokedex-sv/snorunt/
Glalie,https://www.serebii.net/pokedex-sv/glalie/
Froslass,https://www.serebii.net/pokedex-sv/froslass/
Cryogonal,https://www.serebii.net/pokedex-sv/cryogonal/
Cetoddle,https://www.serebii.net/pokedex-sv/cetoddle/
Cetitan,https://www.serebii.net/pokedex-sv/cetitan/
Bergmite,https://www.serebii.net/pokedex-sv/bergmite/
Avalugg,https://www.serebii.net/pokedex-sv/avalugg/
Rufflet,https://www.serebii.net/pokedex-sv/rufflet/
Braviary,https://www.serebii.net/pokedex-sv/braviary/
Pawniard,https://www.serebii.net/pokedex-sv/pawniard/
Bisharp,https://www.serebii.net/pokedex-sv/bisharp/
Kingambit,https://www.serebii.net/pokedex-sv/kingambit/
Deino,https://www.serebii.net/pokedex-sv/deino/
Zweilous,https://www.serebii.net/pokedex-sv/zweilous/
Hydreigon,https://www.serebii.net/pokedex-sv/hydreigon/
Veluza,https://www.serebii.net/pokedex-sv/veluza/
Dondozo,https://www.serebii.net/pokedex-sv/dondozo/
Tatsugiri,https://www.serebii.net/pokedex-sv/tatsugiri/
Great Tusk,https://www.serebii.net/pokedex-sv/greattusk/
Scream Tail,https://www.serebii.net/pokedex-sv/screamtail/
Brute Bonnet,https://www.serebii.net/pokedex-sv/brutebonnet/
Flutter Mane,https://www.serebii.net/pokedex-sv/fluttermane/
Slither Wing,https://www.serebii.net/pokedex-sv/slitherwing/
Sandy Shocks,https://www.serebii.net/pokedex-sv/sandyshocks/
Iron Treads,https://www.serebii.net/pokedex-sv/irontreads/
Iron Bundle,https://www.serebii.net/pokedex-sv/ironbundle/
